"","LUV","JBLU","ALK","ALGT","GOL","GLUX","CPA","HA","SKYW","AAPL","KODK","WATT","KOSS","MSN","VUZI","UEIC","FN","PHG","ABBV","LLY","NVS","AZN","ADTN","HIVE","AUDC","ALLT","AVNW","ATEN","DAL","AAL","SAVE","CEA","ZNH","VLRS","UAL","stock.data.a6.df$ARCO"
"595",52.23,16.120001,59.349998,191.300003,6.65,5e-04,78.739998,23.23,49.349998,150.656586,7.02,2.02,16.23,1.16,12.12,35.700001,120.419998,45.826912,113.933426,261.30777,80.288582,61.628227,20.399372,24.299999,34.843876,15.78,32.18,16.465,44.650002,22.25,25.01,19.32,30.51,18.76,53.110001,4.846543
"596",51.369999,15.93,58.880001,192.75,6.63,5e-04,79.360001,23.610001,50.369999,149.820023,7.16,2.06,16.360001,1.2,12,36.669998,119.610001,46.239853,112.84446,256.900024,79.875862,61.530544,20.556669,22.200001,34.79459,13.02,32.220001,16.31702,44.529999,22.26,24.780001,19.370001,30.559999,18.77,52.810001,4.836652
"597",50.91,15.91,58.830002,193.509995,6.48,5e-04,78.309998,23.950001,49.919998,150.188522,7.07,2,16.07,1.15,13.73,37.759998,119.220001,46.105404,112.406937,258.369263,79.751083,61.247261,19.966806,20.4,35.070583,12.81,31.07,16.049852,43.709999,21.57,24.16,19.24,30.610001,18.51,51.77,5.281743
"598",49.689999,15.52,57.540001,190.220001,6.37,5e-04,76.559998,23.389999,49.459999,147.310425,6.92,1.93,15.86,1.15,12.31,38.220001,118.110001,46.047787,113.515343,260.962646,79.827866,61.677067,20.419035,20.85,35.947842,11.91,31.91,16.119118,43.450001,21.33,23.940001,19.42,30.059999,18.280001,51.34,5.331197
"599",49.080002,15.39,56.810001,188.710007,6.72,5e-04,77.260002,23.16,49.209999,147.26062,6.97,1.93,16,1.13,12.83,38.669998,120.32,45.654053,113.398674,258.970795,79.511131,61.462166,20.763121,21.6,35.740845,12.32,32.240002,16.3566,42.220001,20.290001,23.57,19.309999,30.780001,17.58,49.830002,5.202615
"600",48.419998,15.16,55.650002,186.199997,6.4,5e-04,75.599998,22.209999,47.889999,149.371902,7.17,1.88,15.94,1.2,14.87,39.52,121.25,45.730877,113.729256,256.863617,79.175194,57.437626,21.148172,21.1,35.898552,11.84,32.009998,15.911322,42.380001,20.32,23.860001,19.27,30.93,17.299999,50.48,5.242179
"601",49.130001,15.36,55.669998,188.229996,6.5,5e-04,76.540001,22.309999,47.82,149.381851,7.02,1.87,15.95,1.19,14.61,40.299999,118.989998,40.48748,113.602852,255.656738,78.973633,58.394917,21.385126,20.15,36.026691,12,32.049999,16.317019,41.040001,19.84,23.040001,19.190001,30.870001,17.040001,49.200001,5.14327
"602",47.599998,14.89,53.889999,188.389999,6.12,5e-04,74.010002,21.49,46.349998,150.377731,6.95,1.87,15.51,1.2,15.69,40.700001,118.160004,40.016918,113.194489,254.954346,78.618507,56.294735,21.78005,20.200001,36.470249,11.76,31,16.188383,40.709999,19.860001,22.950001,19.23,30.549999,16.9,48.740002,5.044361
"603",47.400002,14.86,53.540001,187.830002,6.06,5e-04,71.779999,21.4,45.98,152.857468,6.75,1.84,15.39,1.26,14.69,39.419998,117.449997,39.671204,114.098717,258.377197,78.608902,56.392414,21.58259,19.65,36.273113,12.05,30.540001,16.277439,40.119999,19.389999,22.719999,18.82,30.17,16.91,47.43,5.14327
"604",46.369999,14.47,52.540001,184.940002,5.92,5e-04,78.190002,20.52,45.310001,157.219421,6.63,1.72,14.86,1.31,13.38,38.75,115.790001,40.602718,113.826477,258.525574,78.676094,55.396046,21.197538,21,35.15929,11.98,30.129999,16.307125,39.689999,19.280001,22.360001,18.799999,29.75,16.700001,46.110001,5.113597
"605",46.830002,14.4,52.740002,183.119995,5.97,5e-04,78.550003,19.91,43.650002,159.888367,6.61,1.7,14.99,1.29,13.04,39.25,115.589996,39.651997,113.019478,257.902405,78.378555,55.347206,21.365379,19.450001,35.356426,11.87,30.91,15.772789,39.77,19.629999,22.559999,18.68,29.73,16.219999,46.48,5.172943
"606",47.720001,14.5,53.080002,185.360001,5.76,5e-04,78.220001,20.49,44.459999,160.356445,6.56,1.53,15.14,1.08,12.11,39.32,115.910004,37.308788,112.445831,257.645142,78.052208,55.239754,21.681318,20.200001,34.912872,11.55,31.379999,15.881635,39.529999,19.469999,22.24,18.76,29.9,15.69,46.700001,5.093816
"607",46.98,14.34,52.73,185.350006,5.61,5e-04,77.07,19.98,44.549999,160.744827,6.49,1.57,14.5,1.01,12,38.599998,115.849998,36.799816,115.586334,259.148834,79.347961,55.415585,21.276522,19.799999,34.686165,11.72,31.43,16.247755,39.689999,19.459999,22.379999,18.690001,29.92,15.4,46.73,5.004797
"608",46.990002,14.46,52.91,185.570007,5.56,5e-04,77.389999,19.82,44.23,161.272644,6.48,1.55,14.62,1.05,12.14,38.259998,114.360001,37.529667,115.372429,259.188416,78.618507,55.034618,20.338577,18.549999,34.449604,11.47,30.51,15.070237,36.380001,17.75,20.6,18.01,29.129999,14.78,42.259998,4.945452
"609",44.959999,13.62,49.450001,174.589996,5.42,5e-04,71.769997,18.26,41.060001,156.163788,6.13,1.49,14.45,0.99,11.35,37.560001,110.699997,35.666626,113.281998,257.575897,77.457123,55.269062,20.79274,19.25,34.705875,11.4,30.34,15.426461,36.240002,17.74,21.280001,17.75,28.26,14.99,42.540001,4.975125
"610",44.540001,13.53,49.450001,175.300003,5.52,5e-04,72.260002,18.530001,40.919998,159.579666,6.13,1.57,14.03,0.94,11.22,36.560001,110.519997,34.456615,113.651466,252.095367,77.044403,54.243389,20.121368,18.85,34.163754,11.47,31.34,15.258245,36.200001,17.690001,20.91,17.389999,27.450001,14.82,42.259998,4.866325
"611",44.400002,13.42,48.57,173.220001,5.63,5e-04,69.919998,18.280001,39.169998,164.618805,5.99,1.5,14.03,0.94,10.77,36.200001,110.559998,33.784382,112.086075,245.37822,76.497307,53.559612,19.568476,17.799999,33.611771,11.01,30.27,14.664538,33.529999,16.280001,20.040001,17.42,27.530001,14.64,39.060001,4.797088
"612",42.549999,12.86,46.290001,163.669998,5.17,5e-04,69.25,17.299999,37.5,164.090988,5.64,1.45,13.23,0.88,10.19,36.439999,114.349998,33.131359,112.698624,246.456543,76.612488,53.608452,19.825176,17.15,33.946903,11.02,30.809999,15.020762,36.639999,17.42,21.9,17.24,27.809999,15.51,41.639999,5.004797
